,Unnamed: 0_x,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Unnamed: 0_y,Song,Main composer,Singer
38,55,HER MAJESTY,The Beatles,Abbey Road,25986,17,1969,22,0.703,0.215,2,0.31,1,0.0892,0.728,1.23e-06,0.13,0.522,100.874,16.0,HER MAJESTY,McCartney,McCartney
39,57,ONLY A NORTHERN SONG,The Beatles,Yellow Submarine,204493,2,1969,41,0.175,0.731,9,0.511,1,0.0705,0.000341,0.0007509999999999999,0.0846,0.8009999999999999,209.24200000000002,,,,
40,58,ALL TOGETHER NOW,The Beatles,Yellow Submarine,130893,3,1969,44,0.5870000000000001,0.431,2,0.115,1,0.0686,0.0722,0.0,0.561,0.778,95.93700000000001,2.0,ALL TOGETHER NOW,McCartney,McCartney
41,59,HEY BULLDOG,The Beatles,Yellow Submarine,191306,4,1969,53,0.5870000000000001,0.617,7,0.0,1,0.027999999999999997,0.0197,0.639,0.19899999999999998,0.9470000000000001,100.495,3.0,HEY BULLDOG,Lennon/McCartney,Lennon
42,60,IT'S ALL TOO MUCH,The Beatles,Yellow Submarine,385013,5,1969,42,0.39,0.7809999999999999,7,0.614,1,0.0364,4.3e-05,0.41200000000000003,0.1,0.19899999999999998,113.51100000000001,,,,
43,69,BACK IN THE U.S.S.R.,The Beatles,The Beatles,163453,1,1968,66,0.48,0.9690000000000001,9,0.462,1,0.0854,0.069,0.00022,0.0608,0.494,142.489,,,,
44,70,DEAR PRUDENCE,The Beatles,The Beatles,235773,2,1968,61,0.38799999999999996,0.529,7,0.5579999999999999,1,0.0436,0.16,0.0681,0.10800000000000001,0.332,150.721,1.0,DEAR PRUDENCE,Lennon,Lennon
45,71,GLASS ONION,The Beatles,The Beatles,137840,3,1968,55,0.523,0.51,7,0.5710000000000001,0,0.0514,0.0123,8.379999999999999e-05,0.10800000000000001,0.789,120.432,2.0,GLASS ONION,Lennon,Lennon
46,72,"OB-LA-DI, OB-LA-DA",The Beatles,The Beatles,188960,4,1968,71,0.818,0.728,10,0.8029999999999999,1,0.0314,0.23199999999999998,0.0642,0.251,0.975,113.059,3.0,"OB-LA-DI, OB-LA-DA",McCartney,McCartney
47,73,WILD HONEY PIE,The Beatles,The Beatles,52973,5,1968,49,0.792,0.763,2,0.205,1,0.0506,0.425,0.627,0.789,0.152,89.9,4.0,WILD HONEY PIE,McCartney,McCartney
48,74,THE CONTINUING STORY OF BUNGALOW BILL,The Beatles,The Beatles,194160,6,1968,51,0.621,0.45899999999999996,0,0.48,1,0.10400000000000001,0.22399999999999998,0.0,0.6559999999999999,0.648,114.816,5.0,THE CONTINUING STORY OF BUNGALOW BILL,Lennon,Lennon
49,75,WHILE MY GUITAR GENTLY WEEPS,The Beatles,The Beatles,285000,7,1968,70,0.45299999999999996,0.654,4,0.16399999999999998,0,0.0317,0.0205,0.00395,0.172,0.7020000000000001,115.0,6.0,WHILE MY GUITAR GENTLY WEEPS,Harrison,Harrison
50,76,HAPPINESS IS A WARM GUN,The Beatles,The Beatles,164546,8,1968,58,0.431,0.54,9,0.389,0,0.0589,0.523,1.34e-06,0.16899999999999998,0.44,139.28799999999998,7.0,HAPPINESS IS A WARM GUN,Lennon,Lennon
