,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
71,Glass Onion - Remastered 2009,The Beatles,The Beatles (Remastered),137840,3,1968-11-22,56,0.523,0.51,7,0,0.0514,0.0123,8.38e-05,0.108,0.789,120.432
72,"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,The Beatles (Remastered),188960,4,1968-11-22,72,0.818,0.728,10,1,0.0314,0.232,0.0642,0.251,0.975,113.059
73,Wild Honey Pie - Remastered 2009,The Beatles,The Beatles (Remastered),52973,5,1968-11-22,51,0.792,0.763,2,1,0.0506,0.425,0.627,0.789,0.152,89.9
74,The Continuing Story Of Bungalow Bill - Remastered 2009,The Beatles,The Beatles (Remastered),194160,6,1968-11-22,52,0.621,0.459,0,1,0.104,0.224,0.0,0.656,0.648,114.816
75,While My Guitar Gently Weeps - Remastered 2009,The Beatles,The Beatles (Remastered),285000,7,1968-11-22,71,0.453,0.654,4,0,0.0317,0.0205,0.00395,0.172,0.702,115.0
76,Happiness Is A Warm Gun - Remastered 2009,The Beatles,The Beatles (Remastered),164546,8,1968-11-22,60,0.431,0.54,9,0,0.0589,0.523,1.34e-06,0.169,0.44,139.288
77,Martha My Dear - Remastered 2009,The Beatles,The Beatles (Remastered),148573,9,1968-11-22,56,0.472,0.292,10,1,0.0321,0.872,0.0007,0.128,0.824,177.624
78,I'm So Tired - Remastered 2009,The Beatles,The Beatles (Remastered),123493,10,1968-11-22,57,0.433,0.483,9,1,0.175,0.656,2.64e-05,0.539,0.717,68.492
79,Blackbird - Remastered 2009,The Beatles,The Beatles (Remastered),138386,11,1968-11-22,75,0.686,0.127,7,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699
80,Piggies - Remastered 2009,The Beatles,The Beatles (Remastered),124266,12,1968-11-22,51,0.542,0.445,8,1,0.0303,0.643,0.0,0.516,0.52,93.245
81,Rocky Raccoon - Remastered 2009,The Beatles,The Beatles (Remastered),213106,13,1968-11-22,58,0.599,0.363,7,1,0.0315,0.333,0.0,0.243,0.648,79.456
82,Don't Pass Me By - Remastered 2009,The Beatles,The Beatles (Remastered),230453,14,1968-11-22,52,0.599,0.537,0,1,0.0254,0.594,1.92e-05,0.194,0.946,84.895
83,Why Don't We Do It In The Road? - Remastered 2009,The Beatles,The Beatles (Remastered),101160,15,1968-11-22,51,0.589,0.522,2,1,0.0521,0.53,0.000243,0.0993,0.957,187.688
84,I Will - Remastered 2009,The Beatles,The Beatles (Remastered),105933,16,1968-11-22,64,0.631,0.387,5,1,0.0262,0.742,0.000406,0.0822,0.832,103.11
85,Julia - Remastered 2009,The Beatles,The Beatles (Remastered),176666,17,1968-11-22,56,0.512,0.0953,2,1,0.0304,0.828,0.000268,0.117,0.193,134.706
86,Birthday - Remastered 2009,The Beatles,The Beatles (Remastered),163080,1,1968-11-22,54,0.541,0.727,2,1,0.0384,7.37e-05,0.717,0.232,0.91,139.239
87,Yer Blues - Remastered 2009,The Beatles,The Beatles (Remastered),240453,2,1968-11-22,53,0.327,0.525,9,1,0.0475,0.000875,0.259,0.133,0.435,151.766
88,Mother Nature's Son - Remastered 2009,The Beatles,The Beatles (Remastered),168026,3,1968-11-22,54,0.608,0.178,2,1,0.0264,0.634,0.352,0.166,0.401,84.78
89,Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,The Beatles,The Beatles (Remastered),144773,4,1968-11-22,50,0.523,0.731,2,1,0.0559,0.0207,0.000464,0.081,0.81,117.089
90,Sexy Sadie - Remastered 2009,The Beatles,The Beatles (Remastered),195266,5,1968-11-22,53,0.577,0.624,0,1,0.0285,0.33,0.00622,0.117,0.671,75.478
91,Helter Skelter - Remastered 2009,The Beatles,The Beatles (Remastered),269786,6,1968-11-22,64,0.166,0.831,9,1,0.0894,0.000606,0.846,0.811,0.281,167.518
92,"Long, Long, Long - Remastered 2009",The Beatles,The Beatles (Remastered),186306,7,1968-11-22,51,0.349,0.129,5,1,0.0294,0.539,0.405,0.192,0.163,104.837
93,Revolution 1 - Remastered 2009,The Beatles,The Beatles (Remastered),255706,8,1968-11-22,52,0.386,0.626,9,1,0.0377,0.0785,0.00164,0.621,0.695,98.425
94,Honey Pie - Remastered 2009,The Beatles,The Beatles (Remastered),161160,9,1968-11-22,52,0.537,0.297,7,1,0.0822,0.88,1.5e-05,0.145,0.553,144.197
95,Savoy Truffle - Remastered 2009,The Beatles,The Beatles (Remastered),174466,10,1968-11-22,49,0.623,0.544,11,0,0.0536,0.00814,0.309,0.134,0.793,120.761
96,Cry Baby Cry - Remastered 2009,The Beatles,The Beatles (Remastered),182080,11,1968-11-22,51,0.517,0.529,9,0,0.0323,0.115,0.00396,0.174,0.362,76.644
97,Revolution 9 - Remastered 2009,The Beatles,The Beatles (Remastered),502013,12,1968-11-22,46,0.208,0.615,2,0,0.342,0.769,0.118,0.824,0.101,91.158
98,Good Night - Remastered 2009,The Beatles,The Beatles (Remastered),193760,13,1968-11-22,50,0.146,0.355,7,1,0.0352,0.865,0.835,0.114,0.178,146.408
99,Magical Mystery Tour - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),170106,1,1967-11-27,54,0.297,0.613,9,1,0.0931,0.0385,3.98e-05,0.0734,0.338,170.962
