,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
86,The Man - Remastered 2015,Paul McCartney,Pipes Of Peace,236306,6,1983-10-28,37,0.603,0.664,2,0,0.0298,0.112,0.0,0.244,0.857,131.245
87,Sweetest Little Show - Remastered 2015,Paul McCartney,Pipes Of Peace,171986,7,1983-10-28,24,0.468,0.464,7,1,0.0531,0.272,1.25e-05,0.463,0.593,97.87
88,Average Person - Remastered 2015,Paul McCartney,Pipes Of Peace,274013,8,1983-10-28,26,0.552,0.797,9,1,0.0405,0.067,0.0,0.351,0.638,139.938
89,Hey Hey - Remastered 2015,Paul McCartney,Pipes Of Peace,174253,9,1983-10-28,22,0.682,0.612,2,1,0.063,0.00339,0.747,0.0763,0.732,100.773
90,Tug Of Peace - Remastered 2015,Paul McCartney,Pipes Of Peace,176066,10,1983-10-28,21,0.83,0.537,10,0,0.0742,0.0152,0.296,0.382,0.867,118.951
91,Through Our Love - Remastered 2015,Paul McCartney,Pipes Of Peace,210120,11,1983-10-28,26,0.534,0.458,4,1,0.0257,0.139,0.0,0.125,0.4,83.937
92,Tug Of War - Remixed 2015,Paul McCartney,Tug Of War,263280,1,1982-04-26,33,0.358,0.485,0,1,0.0372,0.338,0.0,0.505,0.374,83.654
93,Take It Away - Remixed 2015,Paul McCartney,Tug Of War,256053,2,1982-04-26,36,0.582,0.632,2,1,0.0368,0.00814,5.15e-05,0.0755,0.928,134.875
94,Somebody Who Cares - Remixed 2015,Paul McCartney,Tug Of War,199266,3,1982-04-26,32,0.688,0.309,9,0,0.0282,0.0933,0.0,0.136,0.471,92.963
95,What’s That You’re Doing? - Remixed 2015,Paul McCartney,Tug Of War,382893,4,1982-04-26,29,0.724,0.711,1,1,0.0485,0.0053,1.69e-05,0.0831,0.813,107.275
96,Here Today - Remixed 2015,Paul McCartney,Tug Of War,148853,5,1982-04-26,48,0.349,0.201,0,1,0.0294,0.767,0.0,0.134,0.338,77.402
97,Ballroom Dancing - Remixed 2015,Paul McCartney,Tug Of War,248533,6,1982-04-26,30,0.464,0.864,4,1,0.0316,0.0289,6.78e-05,0.305,0.964,157.926
98,The Pound Is Sinking - Remixed 2015,Paul McCartney,Tug Of War,175653,7,1982-04-26,27,0.24,0.731,1,1,0.0602,0.0442,0.00292,0.111,0.43,166.422
99,Wanderlust - Remixed 2015,Paul McCartney,Tug Of War,229426,8,1982-04-26,32,0.422,0.406,2,1,0.0255,0.00471,0.0,0.1,0.287,84.61
100,Get It - Remixed 2015,Paul McCartney,Tug Of War,148400,9,1982-04-26,24,0.571,0.457,4,1,0.0457,0.097,2.35e-05,0.128,0.557,79.595
101,Be What You See (Link) - Remixed 2015,Paul McCartney,Tug Of War,34053,10,1982-04-26,23,0.471,0.0618,9,0,0.0465,0.949,0.0,0.161,0.15,74.044
102,Dress Me Up As A Robber - Remixed 2015,Paul McCartney,Tug Of War,162706,11,1982-04-26,25,0.638,0.739,2,1,0.0298,0.0533,5.64e-06,0.138,0.631,118.945
103,Ebony And Ivory - Remixed 2015,Paul McCartney,Tug Of War,226266,12,1982-04-26,61,0.567,0.692,4,1,0.0379,0.0784,0.0,0.0338,0.708,160.697
104,Coming Up - Remastered 2011,Paul McCartney,McCartney II,231880,1,1980-05-16,34,0.817,0.767,8,1,0.0468,0.457,0.0723,0.0606,0.878,128.93
105,Temporary Secretary - Remastered 2011,Paul McCartney,McCartney II,194280,2,1980-05-16,30,0.86,0.662,1,1,0.0555,0.572,0.021,0.0382,0.702,132.42
106,On The Way - Remastered 2011,Paul McCartney,McCartney II,219066,3,1980-05-16,27,0.606,0.417,10,0,0.0318,0.247,0.0559,0.37,0.713,86.78
107,Waterfalls - Remastered 2011,Paul McCartney,McCartney II,284133,4,1980-05-16,27,0.344,0.0728,1,0,0.0338,0.966,6.67e-06,0.139,0.107,65.267
108,Nobody Knows - Remastered 2011,Paul McCartney,McCartney II,172506,5,1980-05-16,25,0.73,0.773,10,1,0.0283,0.306,0.909,0.145,0.966,122.96
109,Front Parlour - Remastered 2011,Paul McCartney,McCartney II,212653,6,1980-05-16,23,0.733,0.561,0,1,0.0336,0.033,0.109,0.108,0.431,132.179
110,Summer’s Day Song - Remastered 2011,Paul McCartney,McCartney II,205533,7,1980-05-16,23,0.121,0.134,5,1,0.0418,0.924,0.703,0.107,0.0728,67.036
111,Frozen Jap - Remastered 2011,Paul McCartney,McCartney II,219773,8,1980-05-16,23,0.746,0.573,1,1,0.0474,0.00521,0.761,0.0532,0.866,122.226
