,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
414,Young and Innocent Days - Mono Mix,The Kinks,Arthur (Deluxe Edition),202133,10,1969-10-10,17,0.398,0.339,0,0.686,1,0.0296,0.603,3.55e-05,0.109,0.221,92.794
415,Nothing to Say,The Kinks,Arthur (Deluxe Edition),187746,11,1969-10-10,19,0.333,0.794,2,0.456,1,0.0377,0.0303,5.35e-06,0.245,0.775,200.547
416,Arthur,The Kinks,Arthur (Deluxe Edition),324106,12,1969-10-10,22,0.547,0.955,2,0.67,1,0.045,0.00229,1.49e-05,0.121,0.872,124.218
417,Plastic Man - Mono Mix,The Kinks,Arthur (Deluxe Edition),184960,13,1969-10-10,23,0.586,0.878,2,0.652,1,0.0337,0.0526,0.0,0.295,0.922,95.8
418,This Man He Weeps Tonight - Mono Mix,The Kinks,Arthur (Deluxe Edition),162106,14,1969-10-10,17,0.545,0.867,2,0.503,1,0.0315,0.000136,0.000739,0.188,0.795,132.428
419,Mindless Child of Motherhood - Mono Mix,The Kinks,Arthur (Deluxe Edition),189426,15,1969-10-10,18,0.385,0.672,5,0.448,1,0.0302,0.00268,0.0,0.174,0.604,137.851
420,Creeping Jean - Mono Mix,The Kinks,Arthur (Deluxe Edition),197600,16,1969-10-10,13,0.531,0.809,9,0.842,1,0.0442,0.461,0.0035,0.115,0.505,120.77
421,Lincoln County - Mono Mix,The Kinks,Arthur (Deluxe Edition),193053,17,1969-10-10,17,0.488,0.616,7,0.722,1,0.0294,0.146,0.0,0.136,0.813,146.426
422,Hold My Hand - Mono Mix,The Kinks,Arthur (Deluxe Edition),200226,18,1969-10-10,13,0.451,0.629,5,0.0,1,0.031,0.298,1.03e-05,0.129,0.525,79.151
423,Victoria - Live At the BBC,The Kinks,Arthur (Deluxe Edition),215546,19,1969-10-10,11,0.482,0.824,7,0.509,1,0.049,0.0111,0.0148,0.164,0.768,142.888
424,Mr. Churchill Says - Live At the BBC,The Kinks,Arthur (Deluxe Edition),217626,20,1969-10-10,10,0.487,0.712,0,0.618,1,0.111,0.0695,0.00793,0.0639,0.605,96.218
425,Arthur - Live At the BBC,The Kinks,Arthur (Deluxe Edition),197040,21,1969-10-10,9,0.662,0.876,9,0.286,1,0.0375,0.147,0.138,0.0703,0.744,124.279
426,Victoria - Stereo Mix,The Kinks,Arthur (Deluxe Edition),220280,1,1969-10-10,24,0.5,0.854,7,0.508,1,0.0389,0.018,0.00191,0.0903,0.811,142.07
427,"Yes Sir, No Sir - Stereo Mix",The Kinks,Arthur (Deluxe Edition),226826,2,1969-10-10,13,0.379,0.676,5,0.522,1,0.184,0.206,2.58e-06,0.0778,0.651,187.369
428,Some Mother's Son - Stereo Mix,The Kinks,Arthur (Deluxe Edition),205880,3,1969-10-10,12,0.301,0.622,2,0.0,0,0.0352,0.362,0.0,0.091,0.302,80.879
429,Drivin' - Stereo Mix,The Kinks,Arthur (Deluxe Edition),199986,4,1969-10-10,13,0.558,0.673,2,0.043,1,0.0333,0.117,0.0,0.318,0.55,118.332
430,Brainwashed - Stereo Mix,The Kinks,Arthur (Deluxe Edition),155013,5,1969-10-10,13,0.522,0.666,2,0.475,0,0.0334,0.0239,1.83e-05,0.127,0.777,74.163
431,Australia - Stereo Mix,The Kinks,Arthur (Deluxe Edition),406573,6,1969-10-10,13,0.309,0.855,8,0.738,1,0.0549,0.0379,0.000562,0.0855,0.601,97.551
432,Shangri-La - Stereo Mix,The Kinks,Arthur (Deluxe Edition),321226,7,1969-10-10,16,0.394,0.766,0,0.113,1,0.0527,0.281,0.0,0.0949,0.342,112.391
433,Mr. Churchill Says - Stereo Mix,The Kinks,Arthur (Deluxe Edition),283240,8,1969-10-10,12,0.37,0.842,7,0.617,1,0.048,0.0299,0.0037,0.132,0.731,96.616
434,She's Bought a Hat Like Princess Marina - Stereo Mix,The Kinks,Arthur (Deluxe Edition),187826,9,1969-10-10,10,0.483,0.754,7,0.624,1,0.0892,0.219,0.0,0.0647,0.577,115.797
435,Young and Innocent Days - Stereo Mix,The Kinks,Arthur (Deluxe Edition),201653,10,1969-10-10,10,0.42,0.279,0,0.688,1,0.0311,0.632,0.0,0.112,0.214,94.573
436,Nothing to Say - Stereo Mix,The Kinks,Arthur (Deluxe Edition),189080,11,1969-10-10,10,0.39,0.698,2,0.394,1,0.0336,0.0401,0.0,0.142,0.807,198.775
437,Arthur - Stereo Mix,The Kinks,Arthur (Deluxe Edition),326360,12,1969-10-10,12,0.593,0.897,2,0.79,1,0.0356,0.00858,0.0,0.0918,0.935,123.335
438,Plastic Man - Stereo Mix,The Kinks,Arthur (Deluxe Edition),182293,13,1969-10-10,12,0.645,0.695,2,0.6,1,0.0297,0.214,0.0,0.248,0.926,96.073
439,This Man He Weeps Tonight - Stereo Mix,The Kinks,Arthur (Deluxe Edition),159693,14,1969-10-10,13,0.591,0.717,11,0.533,0,0.0381,0.00209,0.0,0.0474,0.751,133.88
440,Drivin' - Stereo Alternate Mix,The Kinks,Arthur (Deluxe Edition),196426,15,1969-10-10,7,0.706,0.347,2,0.61,1,0.0331,0.475,0.0,0.102,0.369,118.106
441,Mindless Child of Motherhood - Stereo Mix,The Kinks,Arthur (Deluxe Edition),190733,16,1969-10-10,9,0.386,0.585,5,0.316,1,0.0295,0.00331,0.0,0.131,0.687,137.734
442,Hold My Hand,The Kinks,Arthur (Deluxe Edition),195333,17,1969-10-10,11,0.518,0.732,0,0.283,1,0.0383,0.22,0.0,0.0877,0.587,81.899
443,Lincoln County,The Kinks,Arthur (Deluxe Edition),203560,18,1969-10-10,9,0.557,0.531,7,0.73,1,0.0283,0.19,0.0,0.376,0.781,74.621
444,Mr. Shoemaker's Daughter,The Kinks,Arthur (Deluxe Edition),189266,19,1969-10-10,9,0.344,0.685,9,0.951,1,0.086,0.0751,0.0,0.147,0.563,163.204
445,Mr. Reporter,The Kinks,Arthur (Deluxe Edition),219453,20,1969-10-10,10,0.533,0.713,2,0.403,1,0.0278,0.159,0.0,0.0571,0.917,96.535
446,Shangri-La - Backing Track,The Kinks,Arthur (Deluxe Edition),329413,21,1969-10-10,8,0.447,0.523,0,0.367,1,0.0343,0.302,0.674,0.135,0.223,111.756
447,The Village Green Preservation Society,The Kinks,The Kinks Are The Village Green Preservation Society,173640,1,1968-01-01,12,0.497,0.938,7,0.706,1,0.0693,0.303,0.0,0.0438,0.671,98.191
448,Do You Remember Walter,The Kinks,The Kinks Are The Village Green Preservation Society,147626,2,1968-01-01,4,0.65,0.747,0,0.919,1,0.0298,0.19,7.95e-05,0.0992,0.608,91.495
449,Picture Book,The Kinks,The Kinks Are The Village Green Preservation Society,156000,3,1968-01-01,4,0.818,0.926,0,0.715,1,0.0311,0.201,1.39e-05,0.235,0.974,121.194
450,Johnny Thunder,The Kinks,The Kinks Are The Village Green Preservation Society,151586,4,1968-01-01,4,0.57,0.762,2,0.982,1,0.0287,0.186,0.0,0.113,0.64,98.039
451,Last Of The Steam Powered Trains,The Kinks,The Kinks Are The Village Green Preservation Society,251013,5,1968-01-01,8,0.42,0.79,9,0.749,1,0.058,0.0468,0.000314,0.0654,0.805,142.22
452,Big Sky,The Kinks,The Kinks Are The Village Green Preservation Society,171693,6,1968-01-01,3,0.53,0.814,10,0.522,1,0.0285,0.0111,9.04e-06,0.0655,0.528,98.213
453,Sitting By The Riverside,The Kinks,The Kinks Are The Village Green Preservation Society,144146,7,1968-01-01,3,0.478,0.599,5,0.607,1,0.0306,0.46,6.43e-06,0.193,0.687,136.57
454,Animal Farm,The Kinks,The Kinks Are The Village Green Preservation Society,181506,8,1968-01-01,2,0.517,0.694,9,0.595,1,0.0257,0.513,0.0,0.125,0.763,77.248
455,Village Green,The Kinks,The Kinks Are The Village Green Preservation Society,131853,9,1968-01-01,3,0.63,0.74,0,0.414,0,0.0286,0.159,0.0,0.29,0.69,101.644
456,Starstruck,The Kinks,The Kinks Are The Village Green Preservation Society,147186,10,1968-01-01,4,0.584,0.678,5,0.976,1,0.0305,0.0607,0.0,0.0725,0.874,133.381
457,Phenomenal Cat,The Kinks,The Kinks Are The Village Green Preservation Society,159173,11,1968-01-01,3,0.523,0.226,2,0.812,1,0.0475,0.714,0.0,0.0998,0.154,57.473
458,All Of My Friends Were There,The Kinks,The Kinks Are The Village Green Preservation Society,145600,12,1968-01-01,3,0.495,0.566,10,0.242,1,0.055,0.317,0.0,0.204,0.631,106.525
459,Wicked Annabella,The Kinks,The Kinks Are The Village Green Preservation Society,163813,13,1968-01-01,2,0.701,0.841,4,0.663,1,0.0285,0.423,0.000842,0.0774,0.637,103.149
460,Monica,The Kinks,The Kinks Are The Village Green Preservation Society,140840,14,1968-01-01,3,0.608,0.723,7,0.73,1,0.0371,0.511,0.0,0.0877,0.872,131.114
461,People Take Pictures Of Each Other,The Kinks,The Kinks Are The Village Green Preservation Society,142133,15,1968-01-01,2,0.739,0.801,0,0.788,1,0.0483,0.217,0.0,0.115,0.914,144.415
462,The Village Green Preservation Society,The Kinks,The Kinks Are The Village Green Preservation Society,169280,16,1968-01-01,1,0.553,0.947,7,0.936,1,0.0574,0.23,0.0,0.0857,0.708,97.641
463,Do You Remember Walter,The Kinks,The Kinks Are The Village Green Preservation Society,145440,17,1968-01-01,1,0.584,0.774,5,0.751,1,0.0337,0.215,1.21e-06,0.0906,0.674,93.109
464,Picture Book,The Kinks,The Kinks Are The Village Green Preservation Society,157306,18,1968-01-01,1,0.831,0.952,0,0.442,1,0.0311,0.166,0.000282,0.247,0.97,121.153
465,Johnny Thunder [Stereo Remix],The Kinks,The Kinks Are The Village Green Preservation Society,151373,19,1968-01-01,1,0.569,0.698,2,0.993,1,0.0298,0.0377,0.00325,0.131,0.615,98.326
466,Monica,The Kinks,The Kinks Are The Village Green Preservation Society,136000,20,1968-01-01,2,0.629,0.781,7,0.805,1,0.0401,0.278,0.0,0.0658,0.871,132.514
467,Days,The Kinks,The Kinks Are The Village Green Preservation Society,173013,21,1968-01-01,2,0.538,0.774,2,1.0,1,0.0275,0.0821,0.0021,0.0626,0.88,100.928
468,Village Green,The Kinks,The Kinks Are The Village Green Preservation Society,129786,22,1968-01-01,2,0.71,0.796,0,0.785,0,0.0277,0.386,0.0,0.195,0.838,103.321
469,Mr. Songbird,The Kinks,The Kinks Are The Village Green Preservation Society,145120,23,1968-01-01,1,0.557,0.46,0,0.562,1,0.0325,0.377,0.0,0.0666,0.539,136.992
470,Wicked Annabella,The Kinks,The Kinks Are The Village Green Preservation Society,162466,24,1968-01-01,0,0.641,0.859,4,0.343,1,0.0392,0.083,0.000223,0.0682,0.587,104.513
471,Starstruck,The Kinks,The Kinks Are The Village Green Preservation Society,141800,25,1968-01-01,7,0.664,0.781,5,0.925,1,0.0328,0.185,0.0,0.0615,0.919,134.648
472,Phenomenal Cat,The Kinks,The Kinks Are The Village Green Preservation Society,158200,26,1968-01-01,1,0.499,0.216,0,0.406,1,0.0439,0.743,6.12e-06,0.0701,0.239,116.047
473,People Take Pictures Of Each Other [Stereo Version],The Kinks,The Kinks Are The Village Green Preservation Society,144866,27,1968-01-01,0,0.729,0.877,0,0.63,1,0.233,0.182,0.0,0.228,0.489,146.878
474,Days [Mono Single],The Kinks,The Kinks Are The Village Green Preservation Society,185400,28,1968-01-01,1,0.526,0.823,2,0.017,1,0.0405,0.129,0.0,0.0618,0.829,100.083
475,David Watts,The Kinks,Something Else (Deluxe Edition),149173,1,1967-09-15,31,0.616,0.848,9,0.408,1,0.0409,0.265,3.76e-06,0.392,0.833,140.821
476,Death of a Clown,The Kinks,Something Else (Deluxe Edition),181520,2,1967-09-15,46,0.514,0.657,0,0.84,1,0.0333,0.0855,0.0,0.257,0.71,80.635
477,Two Sisters,The Kinks,Something Else (Deluxe Edition),119133,3,1967-09-15,30,0.533,0.684,2,0.433,1,0.0323,0.131,2.05e-05,0.0748,0.529,114.218
478,No Return - Mono Mix,The Kinks,Something Else (Deluxe Edition),122080,4,1967-09-15,24,0.602,0.518,6,0.29,1,0.0286,0.169,0.00017,0.131,0.378,138.653
479,Harry Rag - Mono Mix,The Kinks,Something Else (Deluxe Edition),135653,5,1967-09-15,26,0.498,0.677,0,0.258,0,0.0489,0.149,2.44e-06,0.0419,0.967,149.941
480,Tin Soldier Man - Mono Mix,The Kinks,Something Else (Deluxe Edition),168920,6,1967-09-15,24,0.73,0.637,9,0.799,1,0.0409,0.393,0.000376,0.0631,0.624,132.103
481,Situation Vacant - Mono Mix,The Kinks,Something Else (Deluxe Edition),195160,7,1967-09-15,24,0.596,0.767,4,0.678,1,0.0826,0.00576,2.14e-05,0.137,0.42,119.115
482,Love Me Till the Sun Shines - Mono Mix,The Kinks,Something Else (Deluxe Edition),197133,8,1967-09-15,25,0.467,0.835,4,0.46,0,0.172,0.0348,1.72e-06,0.0709,0.829,99.142
483,Lazy Old Sun - Mono Mix,The Kinks,Something Else (Deluxe Edition),167906,9,1967-09-15,23,0.49,0.709,0,0.768,1,0.0405,0.0603,1.02e-06,0.22,0.294,103.902
484,Afternoon Tea - Mono Mix,The Kinks,Something Else (Deluxe Edition),204653,10,1967-09-15,27,0.644,0.668,9,0.413,1,0.0353,0.403,0.0,0.0648,0.478,113.276
485,Funny Face,The Kinks,Something Else (Deluxe Edition),135906,11,1967-09-15,22,0.682,0.662,2,0.217,1,0.0823,0.46,0.000291,0.0973,0.688,125.43
486,End of the Season,The Kinks,Something Else (Deluxe Edition),176666,12,1967-09-15,22,0.479,0.52,4,0.271,0,0.0351,0.34,0.0,0.315,0.359,106.046
487,Waterloo Sunset - Mono Mix,The Kinks,Something Else (Deluxe Edition),194216,13,1967-09-15,64,0.512,0.69,1,0.365,0,0.0249,0.162,0.0,0.167,0.417,107.839
488,Act Nice and Gentle,The Kinks,Something Else (Deluxe Edition),157600,14,1967-09-15,23,0.652,0.665,9,0.684,1,0.0261,0.0481,0.000493,0.0644,0.848,79.266
489,Mr. Pleasant,The Kinks,Something Else (Deluxe Edition),177973,15,1967-09-15,30,0.561,0.807,9,0.0,0,0.0438,0.0675,0.0,0.26,0.655,95.12
490,Susannah's Still Alive - Mono Mix,The Kinks,Something Else (Deluxe Edition),142853,16,1967-09-15,24,0.567,0.844,2,0.828,1,0.0362,0.0293,0.0,0.0833,0.608,110.723
491,Autumn Almanac,The Kinks,Something Else (Deluxe Edition),183526,17,1967-09-15,36,0.667,0.56,9,0.324,1,0.0468,0.476,0.0,0.113,0.633,118.874
492,Harry Rag - Mono Alternate Take,The Kinks,Something Else (Deluxe Edition),133480,18,1967-09-15,16,0.553,0.723,7,0.622,1,0.0436,0.185,0.0,0.308,0.857,153.664
493,David Watts - Mono Alternate Take,The Kinks,Something Else (Deluxe Edition),152293,19,1967-09-15,14,0.461,0.773,2,0.574,1,0.0403,0.111,0.0,0.544,0.899,149.177
494,Afternoon Tea - Canadian Mono Mix,The Kinks,Something Else (Deluxe Edition),197213,20,1967-09-15,14,0.599,0.577,9,0.266,1,0.0317,0.725,0.0,0.0802,0.338,113.172
495,"Sunny Afternoon - Live at Maida Vale Studios, 1967",The Kinks,Something Else (Deluxe Edition),172000,21,1967-09-15,19,0.572,0.463,0,0.412,1,0.0309,0.101,0.003,0.186,0.651,62.837
496,Autumn Almanac - Live At the BBC,The Kinks,Something Else (Deluxe Edition),185240,22,1967-09-15,13,0.67,0.503,9,0.603,1,0.0407,0.128,1.31e-05,0.819,0.697,119.641
497,"Mr. Pleasant - Live at Maida Vale Studios, 1967",The Kinks,Something Else (Deluxe Edition),168173,23,1967-09-15,13,0.613,0.629,9,0.134,0,0.0411,0.00607,0.0514,0.0768,0.911,104.98
498,"Susannah's Still Alive - Live at Maida Vale Studios, 1967",The Kinks,Something Else (Deluxe Edition),133666,24,1967-09-15,11,0.467,0.633,2,1.0,1,0.0302,0.00931,0.488,0.171,0.524,111.951
499,"David Watts - Live at Maida Vale Studios, 1967",The Kinks,Something Else (Deluxe Edition),129560,25,1967-09-15,11,0.522,0.679,2,0.665,1,0.0415,0.00176,0.187,0.395,0.912,146.685
500,"Love Me Till the Sun Shines - Live at The Playhouse Theatre, 1967",The Kinks,Something Else (Deluxe Edition),138680,26,1967-09-15,10,0.654,0.65,9,0.726,1,0.0315,0.452,0.34,0.182,0.639,106.248
501,Death of a Clown - Live At the BBC,The Kinks,Something Else (Deluxe Edition),165266,27,1967-09-15,21,0.505,0.691,0,0.86,1,0.0271,0.128,0.0,0.579,0.737,168.847
502,Good Luck Charm - BBC Live,The Kinks,Something Else (Deluxe Edition),76626,28,1967-09-15,10,0.719,0.572,7,0.807,1,0.0352,0.745,0.000329,0.364,0.862,114.767
503,Harry Rag - Live At the BBC,The Kinks,Something Else (Deluxe Edition),146680,29,1967-09-15,10,0.587,0.575,7,0.538,0,0.22,0.079,0.00895,0.0603,0.898,148.906
504,Little Women - Mono Backing Track,The Kinks,Something Else (Deluxe Edition),132520,30,1967-09-15,11,0.639,0.418,9,0.764,1,0.0265,0.477,0.861,0.106,0.509,94.667
505,David Watts - Stereo Mix,The Kinks,Something Else (Deluxe Edition),160746,1,1967-09-15,15,0.609,0.829,2,0.722,1,0.0329,0.15,8.06e-05,0.348,0.871,140.548
506,Death of a Clown - Stereo Mix,The Kinks,Something Else (Deluxe Edition),193400,2,1967-09-15,16,0.501,0.682,0,0.88,1,0.0288,0.109,4.54e-06,0.296,0.731,160.445
507,Two Sisters - Stereo Mix,The Kinks,Something Else (Deluxe Edition),121653,3,1967-09-15,14,0.589,0.674,2,0.445,1,0.0274,0.126,1.06e-05,0.17,0.481,113.126
508,No Return - Stereo Mix,The Kinks,Something Else (Deluxe Edition),119733,4,1967-09-15,13,0.606,0.465,6,0.365,1,0.0287,0.134,5.91e-05,0.114,0.408,138.189
509,Harry Rag - Stereo Mix,The Kinks,Something Else (Deluxe Edition),134573,5,1967-09-15,15,0.689,0.624,7,0.0,0,0.0648,0.211,0.0,0.0428,0.967,75.041
510,Tin Soldier Man - Stereo Mix,The Kinks,Something Else (Deluxe Edition),167400,6,1967-09-15,13,0.732,0.629,9,0.812,1,0.0417,0.628,0.000529,0.0724,0.63,132.112
511,Situation Vacant,The Kinks,Something Else (Deluxe Edition),194733,7,1967-09-15,14,0.533,0.71,4,0.677,1,0.0713,0.0143,2.49e-05,0.178,0.447,119.154
512,Love Me Till the Sun Shines - Stereo Mix,The Kinks,Something Else (Deluxe Edition),197426,8,1967-09-15,13,0.47,0.842,9,0.755,1,0.182,0.0224,0.0,0.0636,0.803,99.07
513,Lazy Old Sun - Stereo Mix,The Kinks,Something Else (Deluxe Edition),166293,9,1967-09-15,14,0.503,0.715,0,0.888,1,0.0463,0.0907,0.0,0.346,0.366,103.745
514,Afternoon Tea - Stereo Mix,The Kinks,Something Else (Deluxe Edition),204826,10,1967-09-15,14,0.652,0.573,9,0.132,1,0.0358,0.435,0.0,0.0616,0.523,112.861
515,Funny Face - Stereo Mix,The Kinks,Something Else (Deluxe Edition),135960,11,1967-09-15,11,0.688,0.573,2,0.261,1,0.142,0.397,1.87e-05,0.0886,0.663,126.66
516,End of the Season - Stereo Mix,The Kinks,Something Else (Deluxe Edition),178453,12,1967-09-15,11,0.536,0.571,4,0.0,0,0.0311,0.161,0.0,0.313,0.301,106.109
517,Waterloo Sunset - Stereo Mix,The Kinks,Something Else (Deluxe Edition),197693,13,1967-09-15,30,0.555,0.642,1,0.199,0,0.0245,0.0716,0.0,0.16,0.582,107.554
518,Susannah's Still Alive,The Kinks,Something Else (Deluxe Edition),140946,14,1967-09-15,14,0.513,0.696,2,1.0,1,0.0368,0.0196,0.0,0.0889,0.69,111.55
519,Autumn Almanac - Stereo Mix,The Kinks,Something Else (Deluxe Edition),193653,15,1967-09-15,15,0.745,0.512,9,0.472,1,0.0498,0.153,0.00073,0.0656,0.666,120.102
520,Sand On My Shoes - Stereo Mix,The Kinks,Something Else (Deluxe Edition),188053,16,1967-09-15,11,0.731,0.544,0,0.6,1,0.0363,0.08,1.45e-06,0.215,0.634,119.371
521,Afternoon Tea - Stereo Alternate Version,The Kinks,Something Else (Deluxe Edition),221413,17,1967-09-15,9,0.678,0.591,9,0.329,0,0.029,0.155,0.0,0.0907,0.761,110.253
522,Mr. Pleasant - Stereo Alternate Version,The Kinks,Something Else (Deluxe Edition),195080,18,1967-09-15,11,0.696,0.651,11,0.624,0,0.0307,0.354,1.9e-06,0.0555,0.653,93.45
523,Lazy Old Sun - Stereo Alternate Vocal Version,The Kinks,Something Else (Deluxe Edition),193240,19,1967-09-15,8,0.461,0.661,0,0.757,1,0.0445,0.129,1.8e-05,0.136,0.307,104.037
524,Funny Face - Stereo Alternate Version,The Kinks,Something Else (Deluxe Edition),159813,20,1967-09-15,8,0.636,0.496,9,0.66,1,0.0518,0.359,0.0,0.162,0.502,125.901
525,Party Line - Mono Mix,The Kinks,Face to Face (Deluxe Edition),154893,1,1966-10-28,26,0.607,0.944,11,0.523,0,0.0951,0.485,2e-06,0.0505,0.725,105.74
526,Rosy Won't You Please Come Home - Mono Mix,The Kinks,Face to Face (Deluxe Edition),151800,2,1966-10-28,27,0.482,0.758,7,0.293,1,0.0332,0.431,0.0,0.073,0.916,119.996
527,Dandy - Mono Mix,The Kinks,Face to Face (Deluxe Edition),132280,3,1966-10-28,35,0.602,0.627,2,0.638,1,0.0274,0.175,0.0,0.134,0.865,92.094
528,Too Much On My Mind - Mono Mix,The Kinks,Face to Face (Deluxe Edition),148640,4,1966-10-28,26,0.625,0.504,9,0.277,1,0.0278,0.137,0.0,0.114,0.658,115.063
529,Session Man - Mono Mix,The Kinks,Face to Face (Deluxe Edition),132693,5,1966-10-28,22,0.486,0.702,2,0.735,1,0.0352,0.276,0.0,0.292,0.59,129.789
530,Rainy Day in June - Mono Mix,The Kinks,Face to Face (Deluxe Edition),192893,6,1966-10-28,23,0.396,0.448,4,0.717,0,0.0357,0.445,3.24e-06,0.107,0.325,96.475
531,House In the Country - Mono Mix,The Kinks,Face to Face (Deluxe Edition),180226,7,1966-10-28,23,0.55,0.706,4,0.942,1,0.0489,0.241,0.0,0.0574,0.921,145.866
532,Holiday in Waikiki - Mono Mix,The Kinks,Face to Face (Deluxe Edition),169626,8,1966-10-28,23,0.472,0.872,4,0.806,1,0.129,0.194,0.0585,0.407,0.743,98.221
533,Most Exclusive Residence for Sale - Mono Mix,The Kinks,Face to Face (Deluxe Edition),165733,9,1966-10-28,21,0.572,0.849,4,1.0,1,0.0417,0.245,0.0,0.0901,0.638,124.846
534,Fancy - Mono Mix,The Kinks,Face to Face (Deluxe Edition),149840,10,1966-10-28,20,0.6,0.377,7,0.034,1,0.0279,0.488,0.0148,0.0791,0.0851,120.719
535,Little Miss Queen of Darkness - Mono Mix,The Kinks,Face to Face (Deluxe Edition),195386,11,1966-10-28,24,0.679,0.498,2,0.346,1,0.0325,0.179,2.77e-06,0.0525,0.179,129.816
536,You're Looking Fine - Mono Mix,The Kinks,Face to Face (Deluxe Edition),166133,12,1966-10-28,27,0.709,0.749,4,0.031,1,0.0258,0.205,0.0304,0.178,0.681,100.561
537,Sunny Afternoon - Mono Mix,The Kinks,Face to Face (Deluxe Edition),210525,13,1966-10-28,65,0.595,0.462,2,0.022,0,0.0259,0.102,0.0,0.0641,0.526,124.991
538,I'll Remember - Mono Mix,The Kinks,Face to Face (Deluxe Edition),145066,14,1966-10-28,21,0.509,0.824,9,0.81,1,0.0513,0.314,0.0,0.26,0.752,130.37
539,Dead End Street - Mono Mix,The Kinks,Face to Face (Deluxe Edition),200531,15,1966-10-28,39,0.605,0.675,9,0.436,0,0.0598,0.727,0.00319,0.529,0.569,126.67
540,Big Black Smoke - Mono Mix,The Kinks,Face to Face (Deluxe Edition),154840,16,1966-10-28,21,0.377,0.872,2,0.477,1,0.0667,0.0268,0.0,0.351,0.851,166.296
541,This Is Where I Belong - Mono Mix,The Kinks,Face to Face (Deluxe Edition),142866,17,1966-10-28,21,0.409,0.8,7,0.66,1,0.0352,0.48,0.0,0.203,0.717,111.264
542,She's Got Everything - Mono Mix,The Kinks,Face to Face (Deluxe Edition),191226,18,1966-10-28,25,0.585,0.807,0,1.0,1,0.0891,0.0824,0.0,0.0652,0.786,145.982
543,Little Miss Queen of Darkness - Mono Alternate Take,The Kinks,Face to Face (Deluxe Edition),199373,19,1966-10-28,17,0.706,0.296,7,0.0,1,0.0361,0.202,1.48e-06,0.0569,0.0802,129.982
544,Dead End Street - Alternate Mono Version,The Kinks,Face to Face (Deluxe Edition),176333,20,1966-10-28,16,0.47,0.539,9,0.406,0,0.0429,0.344,0.000132,0.125,0.547,134.029
545,Party Line - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),153093,1,1966-10-28,17,0.612,0.914,11,0.442,0,0.109,0.484,7.19e-06,0.0927,0.724,106.173
546,Rosy Won't You Please Come Home - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),150653,2,1966-10-28,18,0.484,0.819,7,0.358,1,0.0357,0.279,0.0,0.118,0.956,119.85
547,Dandy - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),129155,3,1966-10-28,20,0.61,0.627,2,0.641,1,0.0277,0.152,0.0,0.131,0.883,92.7
548,Too Much on My Mind - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),145973,4,1966-10-28,17,0.626,0.511,2,0.54,1,0.0282,0.188,0.0,0.108,0.723,115.617
549,Session Man - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),130320,5,1966-10-28,14,0.494,0.68,7,0.717,1,0.0305,0.00814,0.0,0.199,0.496,129.459
550,Rainy Day in June - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),188026,6,1966-10-28,17,0.389,0.52,2,0.137,1,0.032,0.591,0.0,0.149,0.564,96.993
551,House in the Country - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),182480,7,1966-10-28,15,0.535,0.747,4,0.879,1,0.0432,0.0949,0.0,0.0559,0.909,144.455
552,Holiday in Waikiki - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),169066,8,1966-10-28,14,0.512,0.824,4,0.79,1,0.104,0.225,0.0626,0.433,0.659,98.772
553,Most Exclusive Residence for Sale - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),167066,9,1966-10-28,13,0.573,0.72,4,0.821,1,0.0378,0.528,3e-05,0.493,0.698,125.571
554,Fancy - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),146066,10,1966-10-28,25,0.606,0.376,7,0.032,1,0.0291,0.362,0.0201,0.0799,0.0907,121.432
555,Little Miss Queen of Darkness - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),192733,11,1966-10-28,16,0.687,0.427,9,0.261,1,0.0317,0.109,1.37e-06,0.0607,0.216,130.778
556,You're Looking Fine - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),164466,12,1966-10-28,14,0.71,0.683,4,0.017,1,0.0256,0.243,0.0181,0.203,0.683,101.231
557,Sunny Afternoon - Stereo Version,The Kinks,Face to Face (Deluxe Edition),214693,13,1966-10-28,41,0.555,0.553,0,0.402,1,0.0244,0.129,0.0,0.0687,0.446,61.997
558,I'll Remember - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),147080,14,1966-10-28,14,0.5,0.851,9,0.663,1,0.0619,0.372,0.0,0.207,0.72,129.084
559,This Is Where I Belong - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),164613,15,1966-10-28,14,0.457,0.703,7,0.614,1,0.0366,0.395,0.0,0.334,0.597,111.479
560,Big Black Smoke - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),153000,16,1966-10-28,14,0.364,0.871,2,0.382,1,0.0631,0.00684,0.0,0.491,0.86,166.482
