,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer
62,MOTHER NATURE'S SON,The Beatles,The Beatles,168026,3,1968,53,0.608,0.178,2,0.952,1,0.0264,0.634,0.352,0.166,0.401,84.78,MOTHER NATURE'S SON,McCartney,McCartney
63,EVERYBODY'S GOT SOMETHING TO HIDE EXCEPT ME AND MY MONKEY,The Beatles,The Beatles,144773,4,1968,49,0.523,0.731,2,0.382,1,0.0559,0.0207,0.000464,0.081,0.81,117.089,EVERYBODY'S GOT SOMETHING TO HIDE EXCEPT ME AND MY MONKEY,Lennon,Lennon
64,SEXY SADIE,The Beatles,The Beatles,195266,5,1968,51,0.577,0.624,0,0.458,1,0.0285,0.33,0.00622,0.117,0.671,75.478,SEXY SADIE,Lennon,Lennon
65,HELTER SKELTER,The Beatles,The Beatles,269786,6,1968,63,0.166,0.831,9,0.464,1,0.0894,0.000606,0.846,0.811,0.281,167.518,HELTER SKELTER,McCartney,McCartney
66,"LONG, LONG, LONG",The Beatles,The Beatles,186306,7,1968,50,0.349,0.129,5,0.908,1,0.0294,0.539,0.405,0.192,0.163,104.837,"LONG, LONG, LONG",Harrison,Harrison
67,REVOLUTION 1,The Beatles,The Beatles,255706,8,1968,51,0.386,0.626,9,0.415,1,0.0377,0.0785,0.00164,0.621,0.695,98.425,REVOLUTION 1,Lennon,Lennon
68,HONEY PIE,The Beatles,The Beatles,161160,9,1968,51,0.537,0.297,7,0.578,1,0.0822,0.88,1.50E-05,0.145,0.553,144.197,HONEY PIE,McCartney,McCartney
69,SAVOY TRUFFLE,The Beatles,The Beatles,174466,10,1968,48,0.623,0.544,11,0.542,0,0.0536,0.00814,0.309,0.134,0.793,120.761,SAVOY TRUFFLE,Harrison,Harrison
70,CRY BABY CRY,The Beatles,The Beatles,182080,11,1968,50,0.517,0.529,9,0.34,0,0.0323,0.115,0.00396,0.174,0.362,76.644,CRY BABY CRY,Lennon,Lennon
71,REVOLUTION 9,The Beatles,The Beatles,502013,12,1968,45,0.208,0.615,2,0.268,0,0.342,0.769,0.118,0.824,0.101,91.158,REVOLUTION 9,Lennon,Lennon
72,GOOD NIGHT,The Beatles,The Beatles,193760,13,1968,49,0.146,0.355,7,0.749,1,0.0352,0.865,0.835,0.114,0.178,146.408,GOOD NIGHT,Lennon,Starr
73,MAGICAL MYSTERY TOUR,The Beatles,Magical Mystery Tour,170106,1,1967,53,0.297,0.613,9,0.612,1,0.0931,0.0385,3.98E-05,0.0734,0.338,170.962,MAGICAL MYSTERY TOUR,McCartney,McCartney
74,THE FOOL ON THE HILL,The Beatles,Magical Mystery Tour,179106,2,1967,57,0.356,0.26,4,0,0,0.0314,0.913,2.10E-06,0.105,0.49,144.184,THE FOOL ON THE HILL,McCartney,McCartney
75,FLYING,The Beatles,Magical Mystery Tour,135520,3,1967,50,0.551,0.395,0,0.66,1,0.0501,0.368,0.88,0.0932,0.261,92.929,FLYING,Lennon/McCartney/Harrison/Starr,
76,BLUE JAY WAY,The Beatles,Magical Mystery Tour,235066,4,1967,50,0.294,0.407,0,0.788,1,0.0308,0.0258,0.000219,0.0852,0.0378,101.052,BLUE JAY WAY,Harrison,Harrison
77,YOUR MOTHER SHOULD KNOW,The Beatles,Magical Mystery Tour,148413,5,1967,54,0.698,0.293,0,0.306,1,0.0332,0.784,0.0106,0.0936,0.724,117.613,YOUR MOTHER SHOULD KNOW,McCartney,McCartney
78,I AM THE WALRUS,The Beatles,Magical Mystery Tour,275866,6,1967,64,0.401,0.556,2,0.281,1,0.0513,0.0828,0.000359,0.589,0.654,85.206,I AM THE WALRUS,Lennon,Lennon
79,"HELLO, GOODBYE",The Beatles,Magical Mystery Tour,208840,7,1967,65,0.479,0.733,0,0.653,1,0.0256,0.306,2.40E-05,0.414,0.806,99.307,"HELLO, GOODBYE",McCartney,McCartney
80,STRAWBERRY FIELDS FOREVER,The Beatles,Magical Mystery Tour,247320,8,1967,70,0.39,0.502,10,0.629,1,0.178,0.336,0.000138,0.0713,0.289,97.871,STRAWBERRY FIELDS FOREVER,Lennon,Lennon
81,PENNY LANE,The Beatles,Magical Mystery Tour,180893,9,1967,65,0.651,0.488,9,0.281,1,0.0316,0.212,0.026,0.136,0.49,113.038,PENNY LANE,McCartney,McCartney
82,"BABY, YOU'RE A RICH MAN",The Beatles,Magical Mystery Tour,181306,10,1967,57,0.619,0.625,7,0.396,1,0.036,0.0119,1.05E-06,0.152,0.467,96.751,"BABY, YOU'RE A RICH MAN",Lennon/McCartney,Lennon/McCartney
83,ALL YOU NEED IS LOVE,The Beatles,Magical Mystery Tour,230386,11,1967,66,0.4,0.48,7,0.675,1,0.0295,0.346,3.10E-05,0.155,0.653,103.436,ALL YOU NEED IS LOVE,Lennon,Lennon
85,SGT. PEPPER'S LONELY HEARTS CLUB BAND,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,122893,1,1967,64,0.451,0.673,7,0.62,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,SGT. PEPPER'S LONELY HEARTS CLUB BAND,McCartney,McCartney
86,WITH A LITTLE HELP FROM MY FRIENDS,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,164106,2,1967,66,0.705,0.515,4,0.333,1,0.0337,0.365,0,0.389,0.803,112.035,WITH A LITTLE HELP FROM MY FRIENDS,McCartney,Starr
87,LUCY IN THE SKY WITH DIAMONDS,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,208466,3,1967,68,0.311,0.325,2,1,1,0.0283,0.0469,0,0.139,0.668,65.09,LUCY IN THE SKY WITH DIAMONDS,Lennon,Lennon
88,GETTING BETTER,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,168120,4,1967,58,0.632,0.471,0,0.744,1,0.0348,0.313,5.08E-06,0.0712,0.764,121.672,GETTING BETTER,McCartney,McCartney
89,FIXING A HOLE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,156826,5,1967,58,0.469,0.507,0,0.873,0,0.0451,0.382,0,0.0783,0.619,112.984,FIXING A HOLE,McCartney,McCartney
90,SHE'S LEAVING HOME,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,215160,6,1967,61,0.381,0.214,4,0.229,1,0.0337,0.944,0,0.106,0.393,127.581,SHE'S LEAVING HOME,McCartney,McCartney
91,BEING FOR THE BENEFIT OF MR. KITE!,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,157533,7,1967,52,0.526,0.413,0,0.399,1,0.0446,0.338,0,0.0992,0.71,111.874,BEING FOR THE BENEFIT OF MR. KITE!,Lennon,Lennon
92,WITHIN YOU WITHOUT YOU,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,304666,8,1967,57,0.352,0.479,6,0.689,1,0.0338,0.339,0.000353,0.486,0.354,126.166,WITHIN YOU WITHOUT YOU,Harrison,Harrison
93,WHEN I'M SIXTY FOUR,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,157666,9,1967,64,0.704,0.241,1,0.084,1,0.0476,0.625,2.80E-05,0.0868,0.661,140.411,WHEN I'M SIXTY FOUR,McCartney,McCartney
94,LOVELY RITA,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,162093,10,1967,54,0.61,0.471,8,0.686,0,0.0261,0.0634,0,0.118,0.63,87.379,LOVELY RITA,McCartney,McCartney
95,GOOD MORNING GOOD MORNING,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,161226,11,1967,49,0.542,0.618,2,0.755,1,0.139,0.0858,0,0.772,0.93,121.849,GOOD MORNING GOOD MORNING,Lennon,Lennon
96,SGT. PEPPER'S LONELY HEARTS CLUB BAND - REPRISE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,79066,12,1967,51,0.653,0.889,0,0.462,1,0.0453,0.0061,0.589,0.892,0.879,118.773,SGT. PEPPER'S LONELY HEARTS CLUB BAND - REPRISE,McCartney,McCartney
97,A DAY IN THE LIFE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,337413,13,1967,65,0.364,0.457,4,0.519,0,0.0675,0.29,0.000106,0.922,0.175,163.219,A DAY IN THE LIFE,Lennon/McCartney,Lennon/McCartney
98,TAXMAN,The Beatles,Revolver,158853,1,1966,61,0.469,0.596,7,0.953,1,0.0749,0.0101,0,0.321,0.783,133.586,TAXMAN,Harrison,Harrison
99,ELEANOR RIGBY,The Beatles,Revolver,126533,2,1966,69,0.581,0.28,4,0.527,0,0.0381,0.936,1.56E-05,0.305,0.813,137.831,ELEANOR RIGBY,McCartney,McCartney
100,I'M ONLY SLEEPING,The Beatles,Revolver,180320,3,1966,61,0.494,0.47,8,0,0,0.0301,0.21,0,0.28,0.698,103.477,I'M ONLY SLEEPING,Lennon,Lennon
101,LOVE YOU TO,The Beatles,Revolver,179826,4,1966,52,0.391,0.593,5,0.7,1,0.0413,0.7,0.000249,0.0829,0.707,123.986,LOVE YOU TO,Harrison,Harrison
