,Unnamed: 0,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer,lead
43,43,BACK IN THE U.S.S.R.,The Beatles,The Beatles,163453,1,1968,66,0.48,0.9690000000000001,A,0.462,Major,0.0854,0.069,0.00022,0.0608,0.494,142.489,BACK IN THE U.S.S.R.,McCartney,McCartney,McCartney
44,44,DEAR PRUDENCE,The Beatles,The Beatles,235773,2,1968,61,0.38799999999999996,0.529,G,0.5579999999999999,Major,0.0436,0.16,0.0681,0.10800000000000001,0.332,150.721,DEAR PRUDENCE,Lennon,Lennon,Lennon
45,45,GLASS ONION,The Beatles,The Beatles,137840,3,1968,55,0.523,0.51,G,0.5710000000000001,Minor,0.0514,0.0123,8.379999999999999e-05,0.10800000000000001,0.789,120.432,GLASS ONION,Lennon,Lennon,Lennon
46,46,"OB-LA-DI, OB-LA-DA",The Beatles,The Beatles,188960,4,1968,71,0.818,0.728,Bb,0.8029999999999999,Major,0.0314,0.23199999999999998,0.0642,0.251,0.975,113.059,"OB-LA-DI, OB-LA-DA",McCartney,McCartney,McCartney
47,47,WILD HONEY PIE,The Beatles,The Beatles,52973,5,1968,49,0.792,0.763,D,0.205,Major,0.0506,0.425,0.627,0.789,0.152,89.9,WILD HONEY PIE,McCartney,McCartney,McCartney
48,48,THE CONTINUING STORY OF BUNGALOW BILL,The Beatles,The Beatles,194160,6,1968,51,0.621,0.45899999999999996,C,0.48,Major,0.10400000000000001,0.22399999999999998,0.0,0.6559999999999999,0.648,114.816,THE CONTINUING STORY OF BUNGALOW BILL,Lennon,Lennon,Lennon
49,49,WHILE MY GUITAR GENTLY WEEPS,The Beatles,The Beatles,285000,7,1968,70,0.45299999999999996,0.654,E,0.16399999999999998,Minor,0.0317,0.0205,0.00395,0.172,0.7020000000000001,115.0,WHILE MY GUITAR GENTLY WEEPS,Harrison,Harrison,Harrison
50,50,HAPPINESS IS A WARM GUN,The Beatles,The Beatles,164546,8,1968,58,0.431,0.54,A,0.389,Minor,0.0589,0.523,1.34e-06,0.16899999999999998,0.44,139.28799999999998,HAPPINESS IS A WARM GUN,Lennon,Lennon,Lennon
51,51,MARTHA MY DEAR,The Beatles,The Beatles,148573,9,1968,55,0.47200000000000003,0.292,Bb,0.39,Major,0.0321,0.872,0.0007,0.128,0.8240000000000001,177.62400000000002,MARTHA MY DEAR,McCartney,McCartney,McCartney
52,52,I'M SO TIRED,The Beatles,The Beatles,123493,10,1968,56,0.433,0.483,A,0.6729999999999999,Major,0.175,0.6559999999999999,2.64e-05,0.539,0.7170000000000001,68.492,I'M SO TIRED,Lennon,Lennon,Lennon
53,53,BLACKBIRD,The Beatles,The Beatles,138386,11,1968,74,0.6859999999999999,0.127,G,0.857,Major,0.0342,0.754,1.4099999999999999e-05,0.0573,0.37200000000000005,93.699,BLACKBIRD,McCartney,McCartney,McCartney
54,54,PIGGIES,The Beatles,The Beatles,124266,12,1968,50,0.542,0.445,Ab,0.614,Major,0.0303,0.643,0.0,0.516,0.52,93.245,PIGGIES,Harrison,Harrison,Harrison
55,55,ROCKY RACCOON,The Beatles,The Beatles,213106,13,1968,57,0.599,0.363,G,0.777,Major,0.0315,0.33299999999999996,0.0,0.243,0.648,79.456,ROCKY RACCOON,McCartney,McCartney,McCartney
56,56,DON'T PASS ME BY,The Beatles,The Beatles,230453,14,1968,50,0.599,0.537,C,1.0,Major,0.0254,0.594,1.92e-05,0.19399999999999998,0.946,84.895,DON'T PASS ME BY,Starr,Starr,Starr
57,57,WHY DON'T WE DO IT IN THE ROAD?,The Beatles,The Beatles,101160,15,1968,50,0.589,0.522,D,0.9079999999999999,Major,0.0521,0.53,0.00024300000000000002,0.0993,0.9570000000000001,187.688,WHY DON'T WE DO IT IN THE ROAD?,McCartney,McCartney,McCartney
58,58,I WILL,The Beatles,The Beatles,105933,16,1968,63,0.631,0.387,F,0.622,Major,0.0262,0.742,0.00040599999999999995,0.0822,0.8320000000000001,103.11,I WILL,McCartney,McCartney,McCartney
59,59,JULIA,The Beatles,The Beatles,176666,17,1968,55,0.512,0.0953,D,0.466,Major,0.0304,0.828,0.000268,0.11699999999999999,0.193,134.70600000000002,JULIA,Lennon,Lennon,Lennon
60,60,BIRTHDAY,The Beatles,The Beatles,163080,1,1968,53,0.541,0.727,D,0.433,Major,0.0384,7.37e-05,0.7170000000000001,0.23199999999999998,0.91,139.239,BIRTHDAY,McCartney,Lennon/McCartney,McCartney
61,61,YER BLUES,The Beatles,The Beatles,240453,2,1968,51,0.327,0.525,A,0.39,Major,0.0475,0.000875,0.259,0.133,0.435,151.766,YER BLUES,Lennon,Lennon,Lennon
62,62,MOTHER NATURE'S SON,The Beatles,The Beatles,168026,3,1968,53,0.608,0.17800000000000002,D,0.9520000000000001,Major,0.0264,0.634,0.35200000000000004,0.166,0.401,84.78,MOTHER NATURE'S SON,McCartney,McCartney,McCartney
63,63,EVERYBODY'S GOT SOMETHING TO HIDE EXCEPT ME AND MY MONKEY,The Beatles,The Beatles,144773,4,1968,49,0.523,0.731,D,0.382,Major,0.0559,0.0207,0.00046399999999999995,0.081,0.81,117.089,EVERYBODY'S GOT SOMETHING TO HIDE EXCEPT ME AND MY MONKEY,Lennon,Lennon,Lennon
64,64,SEXY SADIE,The Beatles,The Beatles,195266,5,1968,51,0.5770000000000001,0.624,C,0.45799999999999996,Major,0.0285,0.33,0.006220000000000001,0.11699999999999999,0.6709999999999999,75.47800000000001,SEXY SADIE,Lennon,Lennon,Lennon
65,65,HELTER SKELTER,The Beatles,The Beatles,269786,6,1968,63,0.166,0.831,A,0.46399999999999997,Major,0.0894,0.000606,0.846,0.8109999999999999,0.281,167.518,HELTER SKELTER,McCartney,McCartney,McCartney
66,66,"LONG, LONG, LONG",The Beatles,The Beatles,186306,7,1968,50,0.349,0.129,F,0.9079999999999999,Major,0.0294,0.539,0.405,0.192,0.163,104.837,"LONG, LONG, LONG",Harrison,Harrison,Harrison
67,67,REVOLUTION 1,The Beatles,The Beatles,255706,8,1968,51,0.386,0.626,A,0.415,Major,0.0377,0.0785,0.00164,0.621,0.695,98.425,REVOLUTION 1,Lennon,Lennon,Lennon
